agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Conservative,1,5.0,87.79714679237405,1,59,205.01805192561744,0.95,0.663982259506301,S0062_0
Adaptive,2,5.0,86.84495772042692,0,59,207.26591931734217,0.8780325115079051,0.8045347831912226,S0062_0
Defensive,3,5.0,90.32451238947975,0,59,199.28145221956925,0.828385881307721,0.6017169361759265,S0062_0
Balanced,4,5.0,90.45312243742637,0,59,198.9981054822296,0.9,0.7291238913180845,S0062_0
Aggressive,5,5.0,91.76855870615987,0,59,196.14561080375526,0.85,0.8754304966431721,S0062_0
Opportunist,6,10.435273169046877,92.79378892406027,0,59,193.9785001637413,0.93014493696377,0.9722737385882643,S0062_0
Risk_Taker,7,5.0,92.4900398833481,0,59,194.61555020088943,0.9105769408199861,0.9071084887068713,S0062_0
Adaptive,1,5.0,96.48916875474087,1,54,186.54943588282902,0.8511794258002222,0.7326397432678443,S0063_0
Risk_Taker,2,5.0,96.1589807496757,0,54,187.19000409185082,0.8266296564188154,0.7748373819858752,S0063_0
Opportunist,3,5.0,96.06757028195078,0,54,187.3681196180086,0.9146455615684139,0.9591158401384068,S0063_0
Conservative,4,5.0,97.37941864494456,0,54,184.8439870608579,0.95,0.6948502921613657,S0063_0
Balanced,5,9.080380253296417,99.82445587048711,0,54,180.31653509189485,0.9,0.6927512870114306,S0063_0
Defensive,6,14.272627729807692,100.60414735316591,0,54,178.9190652032653,0.8325159965777085,0.7809889430193256,S0063_0
Aggressive,7,5.0,101.4881559079728,0,54,177.36059778563717,0.85,0.9834849488097528,S0063_0
Opportunist,1,7.928138960761563,88.19179996146875,1,60,204.10060808220553,0.9421319140337532,0.7901252267981527,S0064_0
Conservative,2,7.456965509264855,88.41247292353111,0,60,203.59118351511773,0.95,0.8431307709121769,S0064_0
Balanced,3,9.254635732449287,89.87346026772651,0,60,200.28159532724462,0.9,0.7354355065642225,S0064_0
Adaptive,4,5.0,90.26816561920755,0,60,199.40584675146985,0.8478679443346422,0.7938873425601469,S0064_0
Defensive,5,5.0,90.81654022451008,0,60,198.20178081549577,0.9178172565053585,0.7267386864630815,S0064_0
Risk_Taker,6,8.475178867123173,90.26611125889356,0,60,199.41038501563378,0.9164377549782747,0.9709218024448268,S0064_0
Aggressive,7,5.0,93.16204088968551,0,60,193.21173976119795,0.85,0.6558822573212719,S0064_0
Conservative,1,7.88618090284778,97.4446579006266,1,57,184.72023390298398,0.95,0.7363902895502311,S0065_0
Risk_Taker,2,5.0,98.37726374169317,0,57,182.969106024967,0.8188947113268177,0.984975604073701,S0065_0
Balanced,3,5.0,99.6058004049615,0,57,180.71236742055632,0.9,0.8601356174320063,S0065_0
Adaptive,4,5.0,99.44164225634096,0,57,181.01068718876894,0.8957346621649813,0.8380222964347951,S0065_0
