agent,lap,battery_soc,lap_time,cumulative_time,final_position,won,scenario_id
Straight_Dominator,33,74.42499999999981,89.7675,2962.327499999999,6,0,S0000_0
Late_Charger,33,88.60000000000002,89.55,2967.112500000002,7,0,S0000_0
Overtake_Hunter,33,66.17499999999981,89.75000000000001,2961.7500000000005,5,0,S0000_0
Adaptive_AI,33,60.235000000000056,89.7125,2960.5125000000016,2,0,S0000_0
Electric_Blitz,34,5.649999999999956,89.7915,3045.6424999999986,1,1,S0000_0
Energy_Saver,34,96.23333333333333,89.79763157894736,3054.8910526315794,8,0,S0000_0
Balanced_Hybrid,34,62.60000000000018,89.7275,3050.734999999999,4,0,S0000_0
Corner_Specialist,34,61.75,89.72,3050.479999999998,3,0,S0000_0
Straight_Dominator,34,73.6499999999998,89.7675,3052.094999999999,6,0,S0000_0
Late_Charger,34,85.75000000000003,89.55,3056.662500000002,7,0,S0000_0
Overtake_Hunter,34,65.1499999999998,89.75000000000001,3051.5000000000005,5,0,S0000_0
Adaptive_AI,34,59.03000000000006,89.7125,3050.2250000000017,2,0,S0000_0
Electric_Blitz,35,2.874999999999956,89.84700000000001,3135.4894999999988,1,1,S0000_0
Energy_Saver,35,95.8157894736842,89.79447368421053,3144.68552631579,8,0,S0000_0
Balanced_Hybrid,35,61.50000000000018,89.7275,3140.462499999999,4,0,S0000_0
Corner_Specialist,35,60.625,89.72,3140.199999999998,3,0,S0000_0
Straight_Dominator,35,72.8749999999998,89.7675,3141.862499999999,6,0,S0000_0
Late_Charger,35,82.90000000000003,89.55,3146.2125000000024,7,0,S0000_0
Overtake_Hunter,35,64.1249999999998,89.75000000000001,3141.2500000000005,5,0,S0000_0
Adaptive_AI,35,57.82500000000006,89.7125,3139.937500000002,2,0,S0000_0
Electric_Blitz,36,0.09999999999995612,89.9025,3225.391999999999,1,1,S0000_0
Energy_Saver,36,95.37631578947368,89.79131578947369,3234.4768421052636,8,0,S0000_0
Balanced_Hybrid,36,60.400000000000176,89.7275,3230.189999999999,4,0,S0000_0
Corner_Specialist,36,59.5,89.72,3229.919999999998,3,0,S0000_0
Straight_Dominator,36,72.0999999999998,89.7675,3231.6299999999987,6,0,S0000_0
Late_Charger,36,80.05000000000004,89.55,3235.7625000000025,7,0,S0000_0
Overtake_Hunter,36,63.0999999999998,89.75000000000001,3231.0000000000005,5,0,S0000_0
Adaptive_AI,36,56.62000000000006,89.7125,3229.650000000002,2,0,S0000_0
Electric_Blitz,37,0.0,89.958,3315.349999999999,1,1,S0000_0
Energy_Saver,37,94.91491228070174,89.78815789473686,3324.2650000000003,8,0,S0000_0
Balanced_Hybrid,37,59.300000000000175,89.7275,3319.917499999999,4,0,S0000_0
Corner_Specialist,37,58.375,89.72,3319.6399999999976,3,0,S0000_0
Straight_Dominator,37,71.32499999999979,89.7675,3321.3974999999987,6,0,S0000_0
Late_Charger,37,77.20000000000005,89.55,3325.3125000000027,7,0,S0000_0
Overtake_Hunter,37,62.074999999999804,89.75000000000001,3320.7500000000005,5,0,S0000_0
Adaptive_AI,37,55.41500000000006,89.7125,3319.362500000002,2,0,S0000_0
Electric_Blitz,38,0.0,89.96000000000001,3405.309999999999,1,1,S0000_0
Energy_Saver,38,94.43157894736841,89.785,3414.05,8,0,S0000_0
Balanced_Hybrid,38,58.20000000000017,89.7275,3409.644999999999,4,0,S0000_0
Corner_Specialist,38,57.25,89.72,3409.3599999999974,3,0,S0000_0
Straight_Dominator,38,70.54999999999978,89.7675,3411.1649999999986,6,0,S0000_0
Late_Charger,38,74.35000000000005,89.55,3414.862500000003,7,0,S0000_0
Overtake_Hunter,38,61.049999999999805,89.75000000000001,3410.5000000000005,5,0,S0000_0
Adaptive_AI,38,54.210000000000065,89.7125,3409.075000000002,2,0,S0000_0
Electric_Blitz,39,0.0,89.96000000000001,3495.269999999999,1,1,S0000_0
Energy_Saver,39,93.92631578947368,89.78184210526317,3503.831842105263,8,0,S0000_0
Balanced_Hybrid,39,57.10000000000017,89.7275,3499.372499999999,4,0,S0000_0
Corner_Specialist,39,56.125,89.72,3499.079999999997,3,0,S0000_0
Straight_Dominator,39,69.77499999999978,89.7675,3500.9324999999985,6,0,S0000_0
Late_Charger,39,71.50000000000006,89.55,3504.412500000003,7,0,S0000_0
Overtake_Hunter,39,60.02499999999981,89.75000000000001,3500.2500000000005,5,0,S0000_0
Adaptive_AI,39,53.00500000000007,89.7125,3498.787500000002,2,0,S0000_0
Electric_Blitz,40,0.0,89.96000000000001,3585.229999999999,1,1,S0000_0
Energy_Saver,40,93.39912280701753,89.77868421052632,3593.6105263157897,8,0,S0000_0
Balanced_Hybrid,40,56.00000000000017,89.7275,3589.099999999999,4,0,S0000_0
Corner_Specialist,40,55.0,89.72,3588.799999999997,3,0,S0000_0
Straight_Dominator,40,68.99999999999977,89.7675,3590.6999999999985,6,0,S0000_0
Late_Charger,40,68.65000000000006,89.55,3593.9625000000033,7,0,S0000_0
Overtake_Hunter,40,58.99999999999981,89.75000000000001,3590.0000000000005,5,0,S0000_0
Adaptive_AI,40,51.80000000000007,89.7125,3588.5000000000023,2,0,S0000_0
Electric_Blitz,41,0.0,89.96000000000001,3675.189999999999,1,1,S0000_0
